create_time,bid,campaign_id,custom_track,group_id,job_id,publisher_id,ts
0b18db00-fea5-11ec-a682-ff2314a6e220,,,click,,,,2022-07-08 10:02:00
3ad4bba0-fea2-11ec-990b-791ac7884307,2,4,click,,98,1,2022-07-08 09:42:00
529558a0-0189-11ed-86d1-ba1e1d4189c5,,,click,,,,2022-07-12 02:21:00
2e76ea50-0bfd-11ed-858f-9e4742ec3896,1,48,click,34,188,1,2022-07-25 09:35:00
27e40050-0d4d-11ed-90fa-61f3f31369e8,,,,,,,2022-07-27 01:40:00
6559c890-09ef-11ed-a1c0-370b52b60ebc,,,click,,,,2022-07-22 18:52:00
48bf9d80-02ca-11ed-9b84-436e0e8832ae,,,click,,,,2022-07-13 16:38:00
98f41b10-0c8d-11ed-8398-963bff92ef55,,,alive,,,,2022-07-26 02:49:00
b8e6c680-0c8c-11ed-a782-5102e4e2b1a9,7,1,,,440,1,2022-07-26 02:43:00
be950540-0c8e-11ed-a0c3-c51a83d095c1,0,222,click,,1530,1,2022-07-26 02:57:00
a620b180-0379-11ed-bfd4-633733940da0,,,,,,,2022-07-14 13:34:00
97598a90-0d61-11ed-894b-bbdade50ead0,,,alive,,,,2022-07-27 04:07:00
2f78e140-099d-11ed-a848-6dade16aa9a2,,,,,,,2022-07-22 09:03:00
4e72dbf0-0074-11ed-8020-46839fed52ad,,,click,,,,2022-07-10 17:18:00
b547a800-0700-11ed-9332-d0ac1a5923e6,,,,,,,2022-07-19 01:18:00
b970f030-0caf-11ed-b03a-a00b906df6ef,0,151,,28,1103,1,2022-07-26 06:54:00
47ba3d90-0d61-11ed-aa1e-cc682af3f1f8,1,15,,,336,1,2022-07-27 04:05:00
45924930-07ea-11ed-b74b-9b01a8077d63,,,,,,,2022-07-20 05:10:00
8685a0e0-0b5a-11ed-8854-682e3322a34d,1,48,click,34,188,1,2022-07-24 14:11:00
525fed30-03ac-11ed-bbdc-3da0ad18a501,,,conversion,,,,2022-07-14 19:36:00
db745ec0-006f-11ed-9c94-aa895937f0d7,,,click,,,,2022-07-10 16:46:00
a6bc4f60-0bf7-11ed-b869-2e626c22cd05,,,,,,,2022-07-25 08:56:00
64348bc0-fe65-11ec-aebb-954effe119e8,,,click,,,,2022-07-08 02:26:00
8df1ba50-00ea-11ed-b237-c953b00e5f57,,,click,,,,2022-07-11 07:24:00
fd555940-042a-11ed-99b7-cde24e3c34f5,,,,,,,2022-07-15 10:43:00
12da2910-0c8e-11ed-b6c7-04b22c6ed6a1,0,151,click,28,1103,1,2022-07-26 02:53:00
60912380-0c8d-11ed-8711-0015ec5808af,2,4,,,98,1,2022-07-26 02:48:00
6ee5e1e0-00ea-11ed-8ded-3fa4c4c90b85,,,,,,,2022-07-11 07:23:00
a0896950-0c8f-11ed-9d8a-3998fd7c5315,0,222,click,,1534,1,2022-07-26 03:04:00
3a8ba150-00ea-11ed-9755-2d6a20fe8fc0,,,click,,,,2022-07-11 07:22:00
06dd5470-0077-11ed-a62e-f0a812231670,,,click,,,,2022-07-10 17:37:00
46f09cd0-08ff-11ed-9ef3-a5438738e20d,,,,,,,2022-07-21 14:13:00
43c18c60-07e0-11ed-ba37-7e2826cdb1f9,,,,,,,2022-07-20 03:58:00
f124c8d0-0bfb-11ed-a2bd-5b786a3d9a90,1,48,click,34,188,1,2022-07-25 09:27:00
4551f610-0901-11ed-b7dd-28b270a884c8,,,,,,,2022-07-21 14:27:00
c05b6c80-08a0-11ed-9212-fba82a9b9518,,,,,,,2022-07-21 02:56:00
ef909210-0bec-11ed-849d-e4f5a6079d0a,,,unqualified,,,,2022-07-25 07:39:00
99073210-02c2-11ed-9d80-7e571e50cdd4,2,4,click,,98,1,2022-07-13 15:43:00
a61e8d00-03d9-11ed-9eee-4531fa0a7b65,,,alive,,,,2022-07-15 01:00:00
a7d82600-0bff-11ed-a519-233387ada089,,,alive,,,,2022-07-25 09:53:00
0f82f340-fea2-11ec-b427-cc952b89c583,2,4,click,,98,1,2022-07-08 09:40:00
17676e40-025a-11ed-b7d7-08229d00a916,,,,,,,2022-07-13 03:15:00
2741c650-00eb-11ed-84d7-edadd7a7cf37,,,click,,,,2022-07-11 07:29:00
f0cc1a80-0284-11ed-b9c7-6c79d610fe87,,,,,,,2022-07-13 08:22:00
d40704d0-0173-11ed-87a4-bdb6fd4ea49d,,,click,,,,2022-07-11 23:47:00
a0ce2ff0-0c8e-11ed-8276-bc6e542a31d8,,,alive,,,,2022-07-26 02:57:00
